Volume;MaximumRainfallIntensity;Runoff;RunoffVolume;MaximumRunoffIntensity;P-0;HR-1;HR-2;HR-3;HR-4;HR-5;T-1;T-2;T-3;T-4;T-5;PB-1;PB-2;PB-3;PB-4;PB-5;VV-1;VV-2;VV-3;VV-4;VV-5
0.8;0.3;0;0;0;0.1;41;42;42;45;51;14.7;14;13.5;12.3;9.9;956;956;956;957;959;0.78;0.97;0.91;0.86;0.84
0.1;0.1;0;0;0;0.1;77;76;78;71;62;4.4;5.7;6;6.9;9;957;956;956;956;956;0.77;0.64;0.51;0.51;0.52
0.2;0.1;0;0;0;0.1;82;80;77;76;78;2.8;3.5;4.4;5.7;6;956;957;957;956;956;0.67;0.69;0.77;0.64;0.51
1.7;0.7;0;0;0;0.4;85;85;85;84;83;0.3;0.6;0.9;1.5;2;956;956;956;956;956;0.82;0.71;0.82;0.79;0.67
0.1;0.1;0;0;0;0.1;65;82;85;86;87;5.2;1.3;0.6;0.7;0.6;960;960;960;959;959;0.66;0.65;0.6;0.59;0.73
0.2;0.2;0;0;0;0.2;41;44;51;65;82;13;11.1;8.9;5.2;1.3;960;960;960;960;960;0.89;0.83;0.79;0.66;0.65
1;1;0;0;0;1;36;38;41;44;51;15.7;14.6;13;11.1;8.9;958;959;960;960;960;0.8;0.9;0.89;0.83;0.79
0.6;0.6;0;0;0;0.6;76;74;71;65;56;5.5;6.6;7.5;8.2;10;959;959;958;958;958;0.65;0.68;0.52;0.51;0.51
23.3;4.2;1;8.1;1.88;0.3;74;73;71;71;71;8.8;8.9;9;9;8.9;956;956;955;955;954;0.64;0.74;0.56;0.67;0.68
0.4;0.1;0;0;0;0.1;71;76;80;80;80;11.7;10.2;9.2;8.9;8.7;956;956;956;956;956;0.82;0.9;1.08;0.95;0.76
1.4;0.4;0;0;0;0.3;66;58;56;60;68;11.7;13.5;14.7;14.9;12.6;954;954;954;954;955;0.52;0.76;1.53;0.86;1.06
7;1.5;0;0;0;0.1;74;74;84;91;92;10.7;10.5;8.7;7.2;5.8;959;959;958;958;957;2.2;2.96;1.66;1.15;0.57
0.1;0.1;0;0;0;0.1;93;94;96;96;96;8.8;9;9;8.7;8.7;949;949;950;950;951;1.28;1.49;1.13;1.22;1.14
0.1;0.1;0;0;0;0.1;83;91;93;94;96;8.2;8.5;8.8;9;9;949;949;949;949;950;1.06;1.25;1.28;1.49;1.13
1.2;0.6;0;0;0;0.1;64;62;62;63;58;4.8;4.8;4.6;4.4;4.9;949;949;950;950;951;2.78;2.85;2.79;2.68;2.21
0.2;0.2;0;0;0;0.2;63;64;66;66;68;7.4;7.7;7.1;6.4;6;945;945;946;947;947;2.77;2.2;2.28;2.46;2.49
0.2;0.2;0;0;0;0.2;78;78;78;81;86;6;6.1;5.7;5.5;5.1;946;946;945;945;945;1.88;1.23;3.11;2.88;2.08
26.3;4.9;1;11.6;2.85;0.2;77;76;77;76;77;5.4;5.3;5.4;5.6;5.7;947;947;947;947;947;2.09;1.87;1.89;2.15;1.73
0.1;0.1;0;0;0;0.1;65;66;68;77;81;10;9.5;8.1;5.3;4.4;948;948;949;948;948;1.33;1.3;1.35;1.38;1.54
0.1;0.1;0;0;0;0.1;92;92;91;91;89;10.9;11.1;11.1;11.1;11.2;952;952;952;952;951;2.08;2.02;2.05;1.88;1.83
0.2;0.1;0;0;0;0.1;91;93;93;93;93;10.5;10.3;10.5;10.5;10.4;953;953;952;952;952;1.62;1.61;1.52;0.97;1.2
0.1;0.1;0;0;0;0.1;89;91;89;90;92;9.3;9.1;9.5;9.5;9.7;961;960;960;960;960;1.12;0.99;0.86;0.85;1.32
5.6;2.5;0;0;0;1.1;91;87;80;76;68;11.3;12.3;13.3;14.7;16.6;959;959;959;958;957;0.56;0.55;0.51;0.54;0.71
2;1.5;0;0;0;1.5;60;66;73;71;76;17.1;15.1;13.3;13;11;957;958;958;958;959;0.98;1.06;1.2;1.03;0.82
2.4;1.8;0;0;0;1.8;53;43;46;53;60;17.6;19.9;20.7;19.4;17.1;956;956;956;956;957;0.62;0.85;0.88;0.88;0.98
0.1;0.1;0;0;0;0.1;34;42;46;52;70;12.6;11;9.4;8.7;6.2;956;957;958;958;958;1.7;1.79;2.25;1.69;0.61
12.8;1.4;0;0;0;0.7;76;72;69;65;65;9.7;10.1;10.8;11.5;11.3;952;952;951;951;952;0.74;1.05;1.11;0.81;1.15
0.1;0.1;0;0;0;0.1;68;70;76;82;88;11.2;10.4;8.7;6.4;4.9;953;953;953;953;952;1.25;1.15;1.05;0.69;0.55
1.5;0.5;0;0;0;0.5;96;95;94;95;95;8.1;7.8;8.6;8.4;8;960;960;960;960;960;0.58;0.61;0.54;0.55;0.56
2.1;2;0;0;0;0.1;71;77;84;89;91;13.8;12.5;11.1;10.3;9.7;955;955;956;957;957;0.95;0.85;0.87;0.66;0.71
13.6;7.5;1;7.1;7.5;3;92;92;92;91;91;10.4;10.4;10.4;10.5;10.5;953;953;953;953;953;0.75;0.64;0.63;0.64;0.64
2.2;2.1;0;0;0;2.1;84;83;83;82;83;11.5;11.7;11.5;11.9;11.6;951;952;952;953;953;1.29;1.12;1.24;1.02;1.09
0.7;0.7;0;0;0;0.7;87;87;86;84;84;10.8;10.8;10.9;11.4;11.5;952;952;951;951;951;0.83;0.93;1.34;0.98;1.29
0.1;0.1;0;0;0;0.1;86;86;86;86;87;10.7;11;10.8;10.8;10.8;952;952;952;952;952;0.85;0.65;0.88;0.73;0.83
3;1.8;0;0;0;0.2;62;63;70;73;74;15.7;15.2;14.2;13.5;13.2;952;952;953;953;953;2.17;2.13;1.58;1.11;1.23
0.2;0.2;0;0;0;0.2;89;86;84;81;75;9.5;10.3;11.1;11.5;12.1;954;954;954;953;953;0.63;0.75;1.3;1.07;0.75
0.1;0.1;0;0;0;0.1;92;94;97;99;99;7.9;8;7.5;7.4;7.2;955;955;955;954;954;1.41;1.07;1.29;1.03;1.34
3.9;2.5;0;0;0;0.9;88;86;84;82;80;6.6;7.4;8.6;9.2;10.4;956;956;956;956;956;0.76;0.66;0.64;0.67;0.57
